TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,W,L,PTS,FT%,
Atlanta Hawks,82,82,100,42.9,91.9,46.6,54,59.3,29.2,54.5,53.6,40.7,13.7,37.5,36.4,36,46,118.3,79.7,
Boston Celtics,81,81,100,43.9,90.2,48.7,57.8,52.8,27.4,47.6,57.5,47.2,16.5,42.5,38.8,64,18,120.6,80.7,
Brooklyn Nets,79,79,100,40.7,89,45.8,53.2,58.8,27.4,52.4,52.4,41.2,13.3,36.7,36.3,32,50,110.4,75.6,
Charlotte Hornets,81,81,100,40,87.1,45.9,52.8,60.9,27.9,53,52.6,39.1,12.1,34,35.5,21,61,106.6,78.6,
Chicago Bulls,81,81,100,41.8,89,47,53.4,64.2,30.4,57.1,53.2,35.8,11.4,31.8,35.7,39,43,112.3,79.1,
Cleveland Cavaliers,82,82,100,41.7,87.1,47.9,55.7,57.8,28.2,50.3,56.1,42.2,13.5,36.7,36.7,48,34,112.6,76.5,
Dallas Mavericks,81,81,100,42.9,89.3,48,56.1,55.9,28.3,49.9,56.7,44.1,14.5,39.4,36.9,50,32,117.9,75.8,
Denver Nuggets,80,80,100,43.8,88.7,49.4,55.9,64.8,32.2,57.5,56,35.2,11.6,31.2,37.1,57,25,117.9,76.2,
Detroit Pistons,81,81,100,40.8,87.9,46.4,52.6,64.1,29.8,56.4,52.8,35.9,11,31.6,34.9,14,68,114.9,78.5,
Golden State Warriors,81,81,100,43.1,90.3,47.7,55.8,57.5,28.5,51.9,54.9,42.5,14.6,38.3,38,46,36,109.9,78,
Houston Rockets,82,82,100,41.6,90.6,46,53,60.2,28.9,54.6,53,39.8,12.7,36,35.2,41,41,117.8,77.3,
Indiana Pacers,82,82,100,46.8,92.4,50.7,57.8,61.9,33.7,57.3,58.8,38.1,13.2,35.2,37.4,47,35,114.3,78.2,
LA Clippers,81,81,100,42,86.1,48.8,56,61.9,29.5,53.3,55.4,38.1,12.5,32.8,38.1,51,31,123.3,82.5,
Los Angeles Lakers,81,81,100,43.1,86.4,49.9,56.6,64.1,31.4,55.4,56.7,35.9,11.7,31,37.6,47,35,115.6,78.2,
Memphis Grizzlies,82,82,100,38.3,88,43.5,51,57.1,25.2,50.3,50.2,42.9,13.1,37.7,34.6,27,55,118,76.4,
Miami Heat,81,82,100,39.9,85.6,46.6,53.9,60.7,27.4,52,52.7,39.3,12.5,33.6,37.2,46,36,105.8,81.8,
Milwaukee Bucks,82,82,100,43.1,88.5,48.7,56.7,57,28.9,50.4,57.4,43,14.2,38.1,37.3,49,33,110.1,77.4,
Minnesota Timberwolves,82,82,100,41.2,85,48.5,56,61.6,28.6,52.3,54.7,38.4,12.6,32.7,38.7,56,26,119,77.7,
New Orleans Pelicans,81,81,100,42.6,87.3,48.8,56,62.6,30.1,54.7,55,37.4,12.5,32.6,38.5,49,33,113,77.1,
New York Knicks,82,82,100,41,88,46.6,54,59.6,27.8,52.4,53,40.4,13.2,35.5,37,50,32,115.1,78,
Oklahoma City Thunder,82,82,100,44.5,89.3,49.9,57.3,61.7,31.3,55.1,56.7,38.3,13.3,34.2,38.9,57,25,112.8,82.5,
Orlando Magic,82,82,100,40.5,84.9,47.7,54.2,63.1,29.4,53.6,55,36.9,11,31.3,35.2,47,35,120.1,75.9,
Philadelphia 76ers,81,81,100,41.5,89.3,46.5,53.3,62.8,29.4,56.1,52.5,37.2,12.1,33.2,36.4,47,35,110.5,82.6,
Phoenix Suns,80,81,100,42.3,86,49.2,56.5,62.1,29.9,53.4,55.9,37.9,12.5,32.6,38.3,49,33,114.6,80.8,
Portland Trail Blazers,81,81,100,39.2,89.5,43.8,50.2,63,27.8,56.4,49.3,37,11.4,33.1,34.4,21,61,116.2,79.1,
Sacramento Kings,82,82,100,43.1,90.5,47.6,55.6,56.8,28.8,51.4,56,43.2,14.3,39.1,36.6,46,36,106.4,74.5,
San Antonio Spurs,81,81,100,41.9,90.7,46.2,53.1,59.9,29.3,54.3,53.9,40.1,12.6,36.4,34.6,22,60,116.6,78.2,
Toronto Raptors,81,81,100,42.2,89.6,47.1,53.5,63.2,30.8,56.6,54.3,36.8,11.4,33,34.7,25,57,112.1,75.6,
Utah Jazz,81,81,100,41.9,89.8,46.7,53.9,59.2,28.9,53.2,54.4,40.8,13,36.6,35.5,31,51,112.4,83,
Washington Wizards,82,82,100,42.8,91,47,53.8,61.1,30.5,55.6,54.8,38.9,12.3,35.5,34.7,15,67,115.7,76.4,
